formula,transition temperature
Zr1Ir1Si1,2.04
Cr1Ti3,3.7
Y0.65Dy0.35Ni2B2C1,10.6
La1.776Nd0.074Sr0.014Ba0.136Cu1O4,30.0
Re0.9865Ru0.0135,1.937
Ti0.3Zr0.7,1.36
La1Fe0.982Zn0.018As1F0.28O0.68,19.6
In0.96Pb0.04,3.68
Ba0.85Na0.15Fe2As2,5.3
Cu19.6Zr78.4Mn2,1.14
La1Fe0.2Zn0.8As1F0.15O0.85,23.9
Ir1.05Nb0.95,4.75
Au0.2B5Mo1.8,4.5
Ru0.9Ir0.1Sr2Gd1Cu2O8,22.0
Gd0.8Ca0.05Hf0.15Ba2Cu3O6.86,80.6
Mg0.88Sc0.12B2,30.0
Gd0.06In1La2.94,4.1
V3Ga0.2Si0.8,10.5
N0.92Nb1,16.5
Co0.07Ru0.93,0.09
U0.99Th0.01Be13,0.624
Bi4Sr4Ca2Cu4O16.25,82.4
Ca0.1Ba1.65La1.25Cu3O7.08,45.9
Ba1Ga1Si1,4.05
In0.91Te1,2.04
V0.741Sb0.113Al0.146,6.1
Au0.978In0.022,0.0005
C3Er0.8Th1.2,7.0
Pd3Sn2,0.64
Ca0.4La1.25Ba1.35Cu3O7.135,76.0
Y1Ba2Cu2.99Zn0.01O7,86.5
Mo2Ir1B2,3.6
Yb1Mo6S8,8.45
La2.5Y0.5Ca1Ba3Cu6.86Fe0.14O16.578,77.0
Pd2Y1Sn1,4.55
Bi2Y3,2.25
La2Ni1Ge3,0.394
Yb0.2Mo1S2,2.4
Pd23Zr77,2.84
H1.33N0.33O3W1,3.2
Ag0.82Sn0.18,0.066
Zn1Mo6S8,2.8
Ce0.85La0.15Co1In5,0.78
Ti0.5W0.5C1,6.7
Ba2Ca1Cu2F1.4O4.6,106.0
Ce1Fe1As1H0.07O0.93,31.3
Tl2Ca2Ba2Cu3O10,118.975
Na0.65Fe1.93Se2,37.5
Mo0.95Ti0.05C1,13.5
Bi2Sr2Ca1Cu2O8.224,89.0
Pr0.8La1Ce0.2Cu1O4,15.6
La1Bi1Se2F0.5O0.5,3.296
Th1.6Lu0.4C3,10.9
Ti0.64Nb0.28Ta0.08,8.74
Hf0.9Rh0.1,1.9
Ir0.89Rh0.11,0.06
Ce1Ir0.978Pt0.022In5,0.734
Nb0.15Mo0.85C1,11.673
Nb3Ga0.5Zn0.5,16.4
Nd0.74Gd1.11Ce0.15Cu1O4,12.0
B6Th1,0.37
Ga0.4Nb0.6,20.3
Ba1.6Sr0.4Yb0.6Ca0.4Cu3O6.04,47.0
V2.49Mn0.42Si1,8.1
Y1Ba1.9La0.1Cu3.93Zn0.07O8,17.8
Y1Ba1.8La0.2Cu4O8,44.0
Lu1Ni0.8V0.2B1C1,2.6
Y1Mo6S7,2.66
Pd35Zr65,1.98
Y1Ba2Cu2.97Zn0.03O6.98,80.0
Sr2Cu1C0.94B0.06O5,21.0
Cu1.8Mo6S8,10.4
Sn0.96In0.04Te1,1.22
Ge0.95Te1,0.246
Rh0.88Ru0.12Se2,2.28
Cr0.0033V0.9967,5.07
Ce1Cu2Si1.9Ge0.1,0.2
Y0.3Lu0.7Ni2B2C1,15.0
S1Se1Ta1,3.7
La0.8Pr0.2Ba1.5Sr0.5Cu3O6.906,24.0
Nd1.85Ce0.15Cu0.995Mn0.005O4,22.1
Y1Rh2Si2,1.4
Zr0.87Ge0.13,2.94
La1.82Ca1.16Y0.02Cu2O6,40.0
Hg0.15Pb0.85,6.75
Tl0.5Pb0.5Sr1.84Nd0.16Ca1Cu2O7,102.0
Hg1Pb2.3,6.0
Ba0.51K0.49Bi1O3,17.2
Ag0.6Al0.4,0.088
Ge0.72Nb3.28,5.5
Y1Ba2Cu3.987Fe0.013O8,70.15
Er1Ba2Cu2.76Zn0.06Fe0.18O6.97,25.0
Mo0.23Re0.77,9.25
Si10.9V3Al0.1,14.05
Y1Ba2Cu3.98Fe0.02O8,70.5
Ba6Ca2Si46,5.2
Ti0.615V0.385,7.07
Y1Sr2Cu2.7Re0.3O7.2,44.0
V3Si0.25Ga0.75,8.1
Tl2Ba2Cu1O6.01,81.0
Hg1Ba2Cu1O4.103,92.5
La0.98Nd0.02,3.77
Ba0.65K0.35Bi1O3,28.2
K0.4Zr1N1Cl1,15.2
C1Mo0.2Ta0.8,7.5
Bi1Pb1Sb1,8.9
Nb1C0.5N0.5,17.9
B5Nb1.8Ru0.2,6.0
Ca1Cu0.25Si1.55,2.9
Zr25.8V51.3Nb22.9,4.34
K2.9Ba4.9Si46,3.2
V2.97Mn0.03Si1,16.25
Y0.5Pr0.5Sr2Cu2.85Re0.15O7,26.2
Y0.7Pr0.2Ca0.1Ba2Cu4O8,73.4
Nd1.8315Y0.0185Ce0.15Cu1O4,20.0
La1.736Nd0.116Ba0.15Cu1O4,29.0
La1Ba1.75Ca0.25Cu3O6.951,80.0
La3Pd4Si4,2.065
Y1Ba1.8La0.2Cu3O6.6,28.1
Nd1Rh6B6,5.4
Ce1Co0.7Ru0.3In5,2.13
Y1Ba2Cu2.85Ag0.15O7,90.0
Li0.46Rb1Ca2Nb3O10,3.525
Ti0.75V0.25,5.3
La1.85Sr0.15Cu1O3.993,20.0
Pb0.6Cu0.4Sr0.9La1.1Cu1O5.24,27.8
Nd2Cu1F0.1O4,6.0
Cs0.8Fe2Se2,29.2
Mg1C0.906Ni3,3.38
Y1.4Th0.6C2.4,15.4
La1.85Sr0.06Ca0.05Ba0.04Cu1O3.99,30.0
Y0.8Pr0.2Ba2Cu3O6.91,62.7
Bi1.08Ta2S5.08,2.7
Rb3C60C60,29.0
Y0.7Tb0.3Ni2B2C1,5.71
Tl1.7Ba2Cu1O6,24.0
Lu0.8Ho0.2Ru1B2,6.46
Cr0.6Ir0.4,0.4
K0.27O3W1,0.5
La0.55Ca0.15Pr0.3Ba1.5Sr0.5Cu3O6.851,27.0
Y1Ba2Cu2.955Fe0.045O6.93,91.4
Os0.06Re0.94,1.93
Ca9.68Ho0.32Pt3Fe10As18,19.5
Li1Fe0.925Co0.075As1,7.66
Ga0.8Sr2Y0.6Ca0.4Cu2.2O7,42.0
Nb0.8Ru0.2,4.8
Y1Ba1.4Sr0.6Cu4O7.95,82.0
Cd1.3Mo6Se7.5,2.5
Mg0.9Fe0.1B2,34.0
Nb2.7Mo0.3Al1,11.85
Y1Ba2Cu3O6.29,21.9
La1.92Sr0.08Cu1O3.994,20.3
Nb0.5Mo0.5C1,13.1
Y0.8Ca0.2Ba2Cu3O6.64,81.0
Bi1.7Pb0.3Sr2Ca0.6Y0.4Cu2O8,63.5
Cu1Rh1.9Sn0.1Se4,2.86
Mg1C1Ni2.99Fe0.01,6.25
Cr0.38Re0.62,4.1
Ta0.05Ti0.95,2.9
K0.8Fe2Se0.42S1.58,1.9
La1.93Sr0.07Cu1O4,17.2
Yb0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,80.0
La1.805Sr0.195Cu0.98Ru0.02O4,14.1
Y1Ba1.95Cu2.95Co0.05O6.9,70.0
Nb0.98Ta0.02,9.02
La1.81Sr0.19Cu0.98Mn0.02O4,37.0
C1Ta1,8.6375
Nb3Al0.97Ge0.03,19.6
Gd0.99Ca0.01Ba1Sr1Cu3O6.9198,70.5
Bi2Sr2Ca1Cu2O8.196,85.0
La0.9837Ce0.0163Sn3,4.33
Cu0.04Ta1S2,4.2
Rh1Zr2,11.165
Bi2Sr2Ca1Cu2O8.199,70.0
Ca1.8Cu1Cl2O2,41.0
Ba8Si38Al8,3.0
Sr2Tm1Cu3O7.28,56.0
Ce1Ir1In4.875Cd0.125,0.194
Mg0.5Al0.5B2,12.9
Nb0.04Ta0.96,4.47
Nb3Si0.06Sn0.94,17.8
La1Fe1As1F0.6O0.4,40.0
Ir0.99V0.01,0.11
Zr1Pd2Al1,3.4
Au0.24La0.76,3.64
Nb0.2Zr0.8,8.6
Li2B1Pd0.9Pt2.1,2.31
Nb2Se3,2.3
La1.8Sr0.2Cu0.983Zn0.017O4,19.8
Zr1P1S1,3.6
Sm1.7575Gd0.0925Ce0.15Cu1O4,15.0
Sn1Mo6Se8,3.4
K0.68Fe1.79Se2,32.0
Zr33.3V56.7Nb9.9,5.34
Mg0.98Cr0.02B2,35.3
Nd1.55La0.3Ce0.15Cu1O4,23.35
K0.79Fe1.64Se2,30.4
Rb0.653Fe1.532Se2,30.9
Zr2Rh1H0.08,11.1
Mg0.89Li0.11B1.88C0.12,29.9
Lu0.7Ca0.3Ba2Cu3O6.15,58.0
Ba1Sn3,4.3
Hg1Ba2Ca2Cu3O8.3,133.5
V0.745Ga0.228Al0.027,13.05
Cr0.1Ru0.9,0.34
Ba0.6K0.4Bi0.8Pb0.2O3,14.7
La0.8Rh4P12,14.9
Gd0.004La0.996,3.59
Au0.95Ga0.05,0.032
Y1Ba1.2Sr0.8Cu3O6.8,86.0
Ba0.7K0.3Bi0.7Pb0.3O3,14.6
As0.15Nb3Pb0.15Sn0.7,18.05
Nd1Fe0.85Ru0.15As1F0.11O0.89,34.0
Y1Ba2Cu3.8Ga0.2O8,70.25
Cu0.81Sb0.19,0.07
Ir1Sn2,0.715
Ga0.245Nb0.755,20.2
Pu1Co0.1Rh0.9Ga5,10.2
Sr0.9La0.1Cu0.99Zn0.01O2,42.0
Ge0.2La0.8,5.1
In0.94Pb0.06,3.9
Ca1Al0.8Ga0.2Si1,5.6
Rh0.91Ti0.04Y0.05,1.4
Th1Ir0.4Ru1.6,2.87
La1Rh3,2.6
Y1Ba2Cu4O8.043,80.0
La1Fe1As0.7P0.3O1,9.743333333
Ba2Ca2Cu3F1.6O6.4,102.0
Ti2.01Nb0.99Sb1,1.96
Sr0.8Ba1.2Cu1O3.35,50.0
Nd0.5Ca0.5Ba0.6La0.4Cu3O6.77,80.5
La1.07Pr0.85Sr0.08Cu1O4,9.0
Dy1Ba1Sr1Cu3O6.93,83.0
Pb1.14Nb3Se7.14,4.8
Tl2Ba2Cu1O5.947,50.0
Fe1.013Te0.68Se0.32,11.0
Sm1Ba2Cu3O6.554,44.7
Hf0.9Mo0.1,2.5
Nb3Sn0.4Ga0.6,14.6
Ce0.8Pr0.2Ru2,5.82
Zn0.025In2O3,2.68
Si10.9V3B0.1,15.8
B3Be1.09,0.72
Y1.8Ru0.2C2.7,11.2
La1.75Nd0.1Ca0.064Ba0.086Cu1O4,18.0
Sr0.95La0.05Cu1O2.01,42.4
Eu0.64K0.36Fe2As2,27.6
Si0.05V0.95,2.95
K0.8La0.2Bi1O3,12.2
Cu0.5S0.5Sr2Ca2Cu3O12,100.0
Pr0.89La1Ce0.11Cu1O4,24.6
Y1Re0.1Ba2Cu2.9O7.09,91.0
Pb2Sr2Y0.5Ca0.5Cu3F1.0031O7.2608,73.0
Nb3Al0.975Si0.025,18.5
Pb0.5Cu0.5Sr1La1Cu1O5.05,36.7
Er1Ba2Cu2.79Zn0.12Fe0.09O6.95,42.0
Nb3Ge0.1Sn0.9,17.97
Ba1Fe1.92Co0.08As2,7.833333333
Cu0.05Zr1Te3,3.8
Y1Ba1.8La0.2Cu3O6.7,44.3
Cu2.6Mo6S8,9.25
C60Tb2.75,5.4
V2.793Ni0.207Ga1,11.9
V3Si0.1Ga0.9,10.6
Y0.69Ca0.31Ba2Cu3O6,27.7
Sn0.4797Pb0.3203In0.2Te1,4.16
Er0.95Hf0.05Ba2Cu3O6.938,86.0
Sn0.8In0.2Te0.9Se0.1,3.7
Pb0.8Yb0.2Mo6Se8,12.2
Sr1Pd1Ni1Ge2,2.1
Au0.242Nb0.758,10.56
Y1La1Ba4Cu6O13.95,72.2
Ni16Zr84,3.06
In3Rh1,0.095
Sm1Ba1Sr1Cu3O6.94,80.0
Y0.6Lu0.4Ir4B4,3.06
Y0.85Pr0.15Ni2B2C1,12.0
Nb3Al0.8Zn0.2,17.7
Sm1.71125Y0.13875Ce0.15Cu1O4,12.0
Co1Si2,1.306666667
Lu4Co6Sn19,1.5
V1N1,8.95
Na0.34Co1H2.6O3.3,2.65
Sr1Fe2As1.4P0.6,28.93333333
Ge0.3Sb0.7,3.3
Y1Ba1.9La0.1Cu3O6.99,90.675
Ca10Fe9.2Pt3.8As18,13.0
Ca1.808Cu0.904Cl1.904Na0.096O2.192,26.0
In0.97Pd0.03,4.45
Hg0.75Ba2.07Ca2.07Cu3.11O8.15,134.7
La1.5Ba1Ca0.5Cu3O6.801,30.0
Lu1Ir2Rh2B4,3.08
Y1Ba2Cu3.84Co0.16O8,54.3
C1.5Ge3La5,3.3
Gd0.85Pr0.15Ba2Cu3O7,67.9
C3Er0.2Th1.8,8.2
Co3Y4,2.033333333
Be2Nb1,2.15
Pd1.1Te1,4.07
Ti0.01V0.99,5.42
In0.75Sn0.25,5.95
Y0.76Ca0.24Ba2Cu2.85Co0.15O6.8,86.0
Zr2Co1,5.47
Y0.9Ca0.1Ba2Cu3O7,81.8
